Node,X,Y,Z
1,0.500000,0.500000,59.750000
2,0.500000,0.500000,59.250000
3,0.500000,0.500000,58.750000
4,0.500000,0.500000,58.250000
5,0.500000,0.500000,57.750000
6,0.500000,0.500000,57.250000
7,0.500000,0.500000,56.750000
8,0.500000,0.500000,56.250000
9,0.500000,0.500000,55.750000
10,0.500000,0.500000,55.250000
11,0.500000,0.500000,54.750000
12,0.500000,0.500000,54.250000
13,0.500000,0.500000,53.750000
14,0.500000,0.500000,53.250000
15,0.500000,0.500000,52.750000
16,0.500000,0.500000,52.250000
17,0.500000,0.500000,51.750000
18,0.500000,0.500000,51.250000
19,0.500000,0.500000,50.750000
20,0.500000,0.500000,50.250000
21,0.500000,0.500000,49.750000
22,0.500000,0.500000,49.250000
23,0.500000,0.500000,48.750000
24,0.500000,0.500000,48.250000
25,0.500000,0.500000,47.750000
26,0.500000,0.500000,47.250000
27,0.500000,0.500000,46.750000
28,0.500000,0.500000,46.250000
29,0.500000,0.500000,45.750000
30,0.500000,0.500000,45.250000
31,0.500000,0.500000,44.750000
32,0.500000,0.500000,44.250000
33,0.500000,0.500000,43.750000
34,0.500000,0.500000,43.250000
35,0.500000,0.500000,42.750000
36,0.500000,0.500000,42.250000
37,0.500000,0.500000,41.750000
38,0.500000,0.500000,41.250000
39,0.500000,0.500000,40.750000
40,0.500000,0.500000,40.250000
41,0.500000,0.500000,39.750000
42,0.500000,0.500000,39.250000
43,0.500000,0.500000,38.750000
44,0.500000,0.500000,38.250000
45,0.500000,0.500000,37.750000
46,0.500000,0.500000,37.250000
47,0.500000,0.500000,36.750000
48,0.500000,0.500000,36.250000
49,0.500000,0.500000,35.750000
50,0.500000,0.500000,35.250000
51,0.500000,0.500000,34.750000
52,0.500000,0.500000,34.250000
53,0.500000,0.500000,33.750000
54,0.500000,0.500000,33.250000
55,0.500000,0.500000,32.750000
56,0.500000,0.500000,32.250000
57,0.500000,0.500000,31.750000
58,0.500000,0.500000,31.250000
59,0.500000,0.500000,30.750000
60,0.500000,0.500000,30.250000
61,0.500000,0.500000,29.750000
62,0.500000,0.500000,29.250000
63,0.500000,0.500000,28.750000
64,0.500000,0.500000,28.250000
65,0.500000,0.500000,27.750000
66,0.500000,0.500000,27.250000
67,0.500000,0.500000,26.750000
68,0.500000,0.500000,26.250000
69,0.500000,0.500000,25.750000
70,0.500000,0.500000,25.250000
71,0.500000,0.500000,24.750000
72,0.500000,0.500000,24.250000
73,0.500000,0.500000,23.750000
74,0.500000,0.500000,23.250000
75,0.500000,0.500000,22.750000
76,0.500000,0.500000,22.250000
77,0.500000,0.500000,21.750000
78,0.500000,0.500000,21.250000
79,0.500000,0.500000,20.750000
80,0.500000,0.500000,20.250000
81,0.500000,0.500000,19.750000
82,0.500000,0.500000,19.250000
83,0.500000,0.500000,18.750000
84,0.500000,0.500000,18.250000
85,0.500000,0.500000,17.750000
86,0.500000,0.500000,17.250000
87,0.500000,0.500000,16.750000
88,0.500000,0.500000,16.250000
89,0.500000,0.500000,15.750000
90,0.500000,0.500000,15.250000
91,0.500000,0.500000,14.750000
92,0.500000,0.500000,14.250000
93,0.500000,0.500000,13.750000
94,0.500000,0.500000,13.250000
95,0.500000,0.500000,12.750000
96,0.500000,0.500000,12.250000
97,0.500000,0.500000,11.750000
98,0.500000,0.500000,11.250000
99,0.500000,0.500000,10.750000
100,0.500000,0.500000,10.250000
101,0.500000,0.500000,9.750000
102,0.500000,0.500000,9.250000
103,0.500000,0.500000,8.750000
104,0.500000,0.500000,8.250000
105,0.500000,0.500000,7.750000
106,0.500000,0.500000,7.250000
107,0.500000,0.500000,6.750000
108,0.500000,0.500000,6.250000
109,0.500000,0.500000,5.750000
110,0.500000,0.500000,5.250000
111,0.500000,0.500000,4.750000
112,0.500000,0.500000,4.250000
113,0.500000,0.500000,3.750000
114,0.500000,0.500000,3.250000
115,0.500000,0.500000,2.750000
116,0.500000,0.500000,2.250000
117,0.500000,0.500000,1.750000
118,0.500000,0.500000,1.250000
119,0.500000,0.500000,0.750000
120,0.500000,0.500000,0.250000
