Time Step,   1,Stress Period,1097,Sim. Time, 1.097000E+03,This is the title,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
   CONSTANT HEAD,    0.000000E+00,    2.315666E+02,    8.621720E+01,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    5.145581E+03,    1.493638E+01,    2.987275E+01,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.475124E+03,    1.386004E+02,
   FROM ZONE   2,    3.269319E+03,    0.000000E+00,    1.764655E+03,
   FROM ZONE   3,    1.921860E+02,    1.528048E+03,    0.000000E+00,
Total IN        ,    8.607086E+03,    5.249675E+03,    2.019346E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
   CONSTANT HEAD,    2.305484E+02,    2.157015E+02,    2.991138E+02,
           WELLS,    4.762800E+03,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.269319E+03,    1.921860E+02,
     TO ZONE   2,    3.475124E+03,    0.000000E+00,    1.528048E+03,
     TO ZONE   3,    1.386004E+02,    1.764655E+03,    0.000000E+00,
Total OUT       ,    8.607073E+03,    5.249675E+03,    2.019348E+03,
 IN-OUT         ,    1.345396E-02,   -4.459769E-04,   -2.302036E-03,
Percent Error   ,    1.563127E-04,   -8.495323E-06,   -1.139990E-04,
,
