totim,time_step,stress_period,name,ZONE_1,ZONE_2,ZONE_3
1.0,0,0,STORAGE_IN,0.0,0.0,0.0
1.0,0,0,CONSTANT_HEAD_IN,0.0,0.0,0.0
1.0,0,0,WELLS_IN,0.0,0.0,0.0
1.0,0,0,DRAINS_IN,0.0,0.0,0.0
1.0,0,0,RECHARGE_IN,6276.86,0.0,0.0
1.0,0,0,ZONE_1_IN,0.0,3752.85,0.0
1.0,0,0,ZONE_2_IN,2218.18,0.0,1863.49
1.0,0,0,ZONE_3_IN,0.0,1096.25,0.0
1.0,0,0,TOTAL_IN,8495.04,4849.1,1863.49
1.0,0,0,STORAGE_OUT,0.0,0.0,0.0
1.0,0,0,CONSTANT_HEAD_OUT,911.64,767.434,767.249
1.0,0,0,WELLS_OUT,0.0,0.0,0.0
1.0,0,0,DRAINS_OUT,3832.15,0.0,0.0
1.0,0,0,RECHARGE_OUT,0.0,0.0,0.0
1.0,0,0,ZONE_1_OUT,0.0,2218.18,0.0
1.0,0,0,ZONE_2_OUT,3752.85,0.0,1096.25
1.0,0,0,ZONE_3_OUT,0.0,1863.49,0.0
1.0,0,0,TOTAL_OUT,8496.64,4849.11,1863.5
1.0,0,0,IN-OUT,-1.5957,-0.00927734,-0.00610352
1.0,0,0,PERCENT_DISCREPANCY,-0.0187822,-0.000191321,-0.000327531
1097.0,0,1096,STORAGE_IN,0.0,0.0,0.0
1097.0,0,1096,CONSTANT_HEAD_IN,145.418,86.149,86.2172
1097.0,0,1096,WELLS_IN,0.0,0.0,0.0
1097.0,0,1096,DRAINS_IN,0.0,0.0,0.0
1097.0,0,1096,RECHARGE_IN,5190.39,0.0,0.0
1097.0,0,1096,ZONE_1_IN,0.0,3295.72,0.0
1097.0,0,1096,ZONE_2_IN,2993.03,0.0,1639.0
1097.0,0,1096,ZONE_3_IN,0.0,1487.76,0.0
1097.0,0,1096,TOTAL_IN,8328.83,4869.63,1725.22
1097.0,0,1096,STORAGE_OUT,0.0,0.0,0.0
1097.0,0,1096,CONSTANT_HEAD_OUT,270.298,237.602,237.463
1097.0,0,1096,WELLS_OUT,4762.8,0.0,0.0
1097.0,0,1096,DRAINS_OUT,0.0,0.0,0.0
1097.0,0,1096,RECHARGE_OUT,0.0,0.0,0.0
1097.0,0,1096,ZONE_1_OUT,0.0,2993.03,0.0
1097.0,0,1096,ZONE_2_OUT,3295.72,0.0,1487.76
1097.0,0,1096,ZONE_3_OUT,0.0,1639.0,0.0
1097.0,0,1096,TOTAL_OUT,8328.82,4869.63,1725.22
1097.0,0,1096,IN-OUT,0.0126953,-0.000488281,-0.00231934
1097.0,0,1096,PERCENT_DISCREPANCY,0.000152426,-1.00271e-05,-0.000134437
